iter	MultiClass
0	1.751264876
1	1.596995716
2	1.472833409
3	1.360198121
4	1.265990012
5	1.190594698
6	1.12439174
7	1.066445689
8	1.011919107
9	0.9656000463
10	0.9191209276
11	0.8784491723
12	0.8401447568
13	0.8069238714
14	0.7752373056
15	0.7447255178
16	0.7178133375
17	0.6921391865
18	0.6688234572
19	0.6469622688
20	0.6253945335
21	0.6065622558
22	0.5908616852
23	0.5752252347
24	0.5582457244
25	0.5440136485
26	0.5296691143
27	0.5161490164
28	0.5043927285
29	0.4945602708
30	0.4857582437
31	0.4749709627
32	0.4663417208
33	0.458296712
34	0.4496275724
35	0.4411015787
36	0.4353593043
37	0.4278282452
38	0.4215519136
39	0.4154306629
40	0.4084966937
41	0.4023181289
42	0.3968727871
43	0.3923318223
44	0.3869192981
45	0.3817873418
46	0.3768830772
47	0.3728710983
48	0.3683042232
49	0.3636907612
50	0.3607774907
51	0.3580877128
52	0.3542495889
53	0.3505512747
54	0.348200282
55	0.3459036651
56	0.3427946018
57	0.339877091
58	0.3379569211
59	0.3357218497
60	0.332970799
61	0.3309506791
62	0.3286914468
63	0.3265861281
64	0.3244572685
65	0.3227752959
66	0.3215310362
67	0.3200674571
68	0.3182030683
69	0.3166441644
70	0.3152137203
71	0.3136933579
72	0.3119170523
73	0.310477248
74	0.3093537134
75	0.3083127183
76	0.307566469
77	0.306224415
78	0.3047310118
79	0.3037781159
80	0.3023151215
81	0.3015214167
82	0.3005795675
83	0.2993943431
84	0.2988257562
85	0.2980363294
86	0.297319729
87	0.2967937687
88	0.2961848205
89	0.2953187565
90	0.2942783487
91	0.2933436326
92	0.2925940208
93	0.2916902537
94	0.2913298555
95	0.2907507658
96	0.2900018339
97	0.2895529996
98	0.2888709126
99	0.2882860568
100	0.2876809476
101	0.2868693296
102	0.2863367363
103	0.2856974822
104	0.2849441808
105	0.2841503382
106	0.2836940433
107	0.2831051432
108	0.282327535
109	0.2816706835
110	0.2810533114
111	0.280454821
112	0.279757072
113	0.2792233783
114	0.2788197192
115	0.2783571425
116	0.27776422
117	0.2772613944
118	0.2767508534
119	0.2761246073
120	0.2756683527
121	0.2755491427
122	0.2752297823
123	0.2749241462
124	0.2744266185
125	0.273998154
126	0.2734856168
127	0.2729422707
128	0.2724253083
129	0.2722373582
130	0.2718558273
131	0.2713912704
132	0.2711646051
133	0.2706684957
134	0.2700791911
135	0.2694998544
136	0.2690528975
137	0.268636151
138	0.2680784161
139	0.2676992351
140	0.2673001502
141	0.2668815767
142	0.2663987602
143	0.2659200867
144	0.265619218
145	0.2651937822
146	0.2648327241
147	0.2644621904
148	0.2640537758
149	0.2636353546
150	0.2632902104
151	0.2628713107
152	0.2625556309
153	0.2622883143
154	0.2619597621
155	0.2615471705
156	0.2612624089
157	0.2609955854
158	0.2604911273
159	0.2598647409
160	0.2592976761
161	0.2590249276
162	0.258743906
163	0.2581926297
164	0.2578080281
165	0.2573775099
166	0.2569728296
167	0.2562696383
168	0.2557621592
169	0.2553711983
170	0.2550888255
171	0.254729401
172	0.2543167687
173	0.2538692048
174	0.2534588895
175	0.2528878977
176	0.2526544819
177	0.2522722864
178	0.2519744389
179	0.2513460618
180	0.2511177476
181	0.2505411468
182	0.2503382866
183	0.2501277163
184	0.2498181851
185	0.2495802171
186	0.2492752954
187	0.2489225531
188	0.248713965
189	0.2485586259
190	0.2481072443
191	0.2479421977
192	0.2475936944
193	0.2472271973
194	0.247065465
195	0.2468071521
196	0.2466378237
197	0.2464528359
198	0.2462229022
199	0.2459494099
200	0.2457601577
201	0.2454095181
202	0.2449539188
203	0.2445810564
204	0.2444687681
205	0.2442279243
206	0.2437474187
207	0.2434424979
208	0.2430467137
209	0.2428538795
210	0.242720702
211	0.2424260385
212	0.2420577506
213	0.2418805619
214	0.2417853819
215	0.2415932407
216	0.2413168568
217	0.2411058142
218	0.2407937275
219	0.2406685116
220	0.2403780677
221	0.2400087131
222	0.2397715325
223	0.2395501609
224	0.2393580633
225	0.2391464048
226	0.238914018
227	0.2387292881
228	0.238593919
229	0.2382613873
230	0.2379225801
231	0.2377122304
232	0.2373564511
233	0.2371422659
234	0.2369394271
235	0.2368096898
236	0.2365023942
237	0.236330289
238	0.2360414234
239	0.2359393777
240	0.2356371869
241	0.2353444683
242	0.235125686
243	0.2349934847
244	0.2348235973
245	0.234456994
246	0.2343190103
247	0.2340616882
248	0.2336826898
249	0.2335728627
250	0.2334696764
251	0.2333462725
252	0.2331223457
253	0.2328976576
254	0.2326832964
255	0.2325693196
256	0.2323186047
257	0.2319460649
258	0.2317691724
259	0.2315556585
260	0.2312761299
261	0.231142523
262	0.2309646357
263	0.2307528278
264	0.2304635787
265	0.2302719468
266	0.2301378622
267	0.2298282959
268	0.2296587249
269	0.2292788695
270	0.229080607
271	0.2287739917
272	0.2286563337
273	0.2284471273
274	0.2282750438
275	0.2281592445
276	0.2278963653
277	0.2276201788
278	0.227486382
279	0.2272295953
280	0.2270507408
281	0.2268805665
282	0.2267258377
283	0.2265094845
284	0.2260602521
285	0.2257992503
286	0.2254806638
287	0.2253377382
288	0.225109078
289	0.2248306804
290	0.2246647457
291	0.2244115881
292	0.2241766421
293	0.2238992311
294	0.2237945963
295	0.223689491
296	0.2233555352
297	0.2230697724
298	0.2228787358
299	0.2227188999
300	0.2225061139
301	0.2222880875
302	0.2220161913
303	0.2218377992
304	0.2216892825
305	0.2214304417
306	0.221195075
307	0.2210639435
308	0.2206626792
309	0.2204220317
310	0.2201933384
311	0.2198573294
312	0.2195948382
313	0.2194538486
314	0.2191046609
315	0.2186862313
316	0.2184592903
317	0.2182405791
318	0.2181313061
319	0.2179677483
320	0.2177822803
321	0.2176520353
322	0.2173823387
323	0.2172901315
324	0.2168777436
325	0.2166030542
326	0.2163460939
327	0.2160637143
328	0.2158781331
329	0.2157250936
330	0.2154662495
331	0.2153553245
332	0.2150772523
333	0.2149240159
334	0.2146681481
335	0.2144975879
336	0.2142364645
337	0.2140473037
338	0.213801848
339	0.2135683
340	0.213468417
341	0.2133007137
342	0.2132379296
343	0.2131043988
344	0.2128756066
345	0.2123188253
346	0.2122243013
347	0.2119167744
348	0.2117693867
349	0.2115503319
350	0.2114548816
351	0.2112078122
352	0.2111155171
353	0.210891378
354	0.210575093
355	0.2104452324
356	0.2102231689
357	0.2099974614
358	0.2097230326
359	0.2094884517
360	0.2093069111
361	0.2090812963
362	0.2088502415
363	0.2086774978
364	0.2084714527
365	0.2082971487
366	0.2080853754
367	0.2076764251
368	0.2074404648
369	0.2071396885
370	0.2070454285
371	0.2069025074
372	0.2067793328
373	0.2064220657
374	0.2060061128
375	0.2058375601
376	0.2055923913
377	0.2054226903
378	0.2053046698
379	0.2050825871
380	0.2049529859
381	0.2047533866
382	0.204634344
383	0.2043752604
384	0.204260927
385	0.2041377645
386	0.2039750394
387	0.2038246377
388	0.2036471399
389	0.2033609697
390	0.2032245644
391	0.2029884809
392	0.2027259483
393	0.2023018651
394	0.2021570858
395	0.2019404976
396	0.2018883613
397	0.201785468
398	0.2016786353
399	0.2015856774
400	0.201301493
401	0.2009347038
402	0.2004945922
403	0.2004062347
404	0.2002372388
405	0.2001021984
406	0.1998885723
407	0.1996970992
408	0.1994765517
409	0.1992158959
410	0.1990318527
411	0.198874441
412	0.1987361623
413	0.1985214722
414	0.1984036992
415	0.1980741597
416	0.1979180026
417	0.1977934255
418	0.1975227946
419	0.1974379368
420	0.1973353094
421	0.1972154518
422	0.1971224387
423	0.1968514262
424	0.196608741
425	0.1964449628
426	0.1960902524
427	0.1958473046
428	0.1956519738
429	0.1954659918
430	0.1953238038
431	0.1950595048
432	0.1949044315
433	0.1947507533
434	0.1943903691
435	0.1943290284
436	0.1942028415
437	0.1939477773
438	0.1937243088
439	0.1936119933
440	0.1933551608
441	0.1930037067
442	0.1928702433
443	0.1925838651
444	0.192466376
445	0.1921730195
446	0.1920715819
447	0.1918022292
448	0.1915604994
449	0.191408526
450	0.1912417357
451	0.1909445344
452	0.1907328756
453	0.1906015692
454	0.1904367151
455	0.1903879476
456	0.1902851887
457	0.1901164173
458	0.1898732437
459	0.1896021338
460	0.1893545327
461	0.1891128908
462	0.1890073602
463	0.1887364473
464	0.1885183049
465	0.1882712391
466	0.188096451
467	0.1879466972
468	0.1875630449
469	0.1872323522
470	0.1870397148
471	0.1868865921
472	0.1865680182
473	0.1863795627
474	0.1861211123
475	0.1860088534
476	0.1858757027
477	0.1857034509
478	0.1855576365
479	0.1853198316
480	0.1852010003
481	0.1849809569
482	0.1848082367
483	0.18471542
484	0.1845047084
485	0.1843596787
486	0.1841778501
487	0.1838374026
488	0.1836808686
489	0.1834352051
490	0.183267135
491	0.1831149111
492	0.1829872313
493	0.1828889629
494	0.1827550177
495	0.1825926833
496	0.1822802586
497	0.1820479286
498	0.1818820974
499	0.1817656989
