iter	Passed	Remaining
0	67	47480
1	112	39195
2	157	36526
3	200	34900
4	243	33863
5	286	33117
6	331	32780
7	379	32837
8	431	33131
9	478	33037
10	526	33001
11	570	32719
12	618	32700
13	670	32836
14	720	32890
15	769	32900
16	817	32838
17	870	32996
18	916	32833
19	963	32769
20	1014	32816
21	1061	32706
22	1107	32599
23	1155	32555
24	1203	32490
25	1253	32487
26	1303	32482
27	1350	32411
28	1396	32307
29	1445	32274
30	1498	32331
31	1546	32278
32	1593	32217
33	1636	32060
34	1690	32116
35	1738	32058
36	1783	31961
37	1831	31907
38	1878	31834
39	1922	31721
40	1966	31601
41	2013	31540
42	2055	31408
43	2098	31293
44	2144	31215
45	2188	31111
46	2232	31012
47	2278	30956
48	2328	30935
49	2373	30850
50	2418	30773
51	2463	30695
52	2505	30586
53	2554	30562
54	2603	30532
55	2652	30506
56	2716	30645
57	2787	30856
58	2848	30950
59	2902	30960
60	2955	30963
61	3002	30896
62	3056	30904
63	3108	30887
64	3160	30871
65	3206	30797
66	3250	30712
67	3295	30628
68	3340	30547
69	3389	30501
70	3435	30434
71	3483	30381
72	3526	30291
73	3572	30222
74	3617	30144
75	3662	30071
76	3706	29992
77	3751	29912
78	3797	29854
79	3842	29782
80	3886	29704
81	3935	29658
82	3984	29616
83	4034	29585
84	4080	29525
85	4123	29442
86	4169	29375
87	4216	29324
88	4260	29251
89	4305	29182
90	4353	29132
91	4397	29061
92	4442	28994
93	4486	28920
94	4529	28846
95	4574	28780
96	4623	28744
97	4670	28691
98	4718	28644
99	4772	28636
100	4822	28602
101	4877	28595
102	4922	28532
103	4972	28497
104	5019	28443
105	5070	28413
106	5121	28384
107	5173	28356
108	5229	28355
109	5280	28320
110	5328	28276
111	5372	28208
112	5417	28141
113	5467	28103
114	5516	28060
115	5560	27992
116	5607	27941
117	5654	27887
118	5696	27812
119	5741	27750
120	5786	27691
121	5830	27624
122	5875	27564
123	5917	27489
124	5962	27429
125	6007	27365
126	6058	27335
127	6104	27278
128	6147	27209
129	6188	27134
130	6232	27072
131	6277	27010
132	6327	26977
133	6375	26927
134	6421	26873
135	6473	26844
136	6518	26788
137	6563	26728
138	6607	26665
139	6650	26603
140	6701	26569
141	6752	26535
142	6800	26489
143	6849	26446
144	6901	26415
145	6949	26369
146	6997	26323
147	7045	26276
148	7091	26223
149	7137	26172
150	7187	26132
151	7234	26080
152	7281	26030
153	7324	25970
154	7372	25921
155	7418	25869
156	7464	25817
157	7508	25758
158	7555	25708
159	7600	25651
160	7644	25591
161	7687	25529
162	7729	25463
163	7772	25401
164	7815	25342
165	7858	25280
166	7903	25223
167	7946	25162
168	7989	25102
169	8037	25059
170	8083	25007
171	8126	24945
172	8172	24895
173	8247	24932
174	8338	25015
175	8408	25034
176	8454	24979
177	8502	24934
178	8548	24881
179	8592	24821
180	8637	24766
181	8681	24708
182	8728	24660
183	8779	24620
184	8831	24586
185	8881	24542
186	8931	24501
187	8979	24455
188	9026	24404
189	9071	24349
190	9119	24301
191	9163	24243
192	9209	24192
193	9253	24134
194	9294	24070
195	9342	24023
196	9382	23955
197	9422	23890
198	9464	23826
199	9508	23770
200	9548	23705
201	9590	23643
202	9632	23581
203	9674	23521
204	9716	23461
205	9761	23409
206	9802	23346
207	9846	23290
208	9891	23238
209	9936	23184
210	9978	23125
211	10023	23073
212	10070	23025
213	10117	22977
214	10165	22931
215	10209	22875
216	10251	22818
217	10296	22765
218	10340	22710
219	10381	22651
220	10424	22595
221	10466	22535
222	10508	22476
223	10554	22428
224	10598	22374
225	10645	22327
226	10692	22279
227	10736	22227
228	10786	22186
229	10837	22146
230	10884	22099
231	10934	22057
232	10984	22015
233	11041	21989
234	11089	21942
235	11133	21890
236	11187	21856
237	11234	21807
238	11288	21773
239	11335	21726
240	11379	21672
241	11420	21614
242	11470	21571
243	11514	21519
244	11559	21467
245	11604	21416
246	11648	21364
247	11696	21317
248	11740	21264
249	11784	21211
250	11826	21155
251	11869	21100
252	11911	21044
253	11952	20986
254	11994	20931
255	12037	20877
256	12082	20827
257	12127	20775
258	12170	20721
259	12214	20671
260	12258	20618
261	12304	20570
262	12347	20516
263	12394	20469
264	12438	20418
265	12487	20374
266	12532	20324
267	12582	20281
268	12626	20230
269	12671	20179
270	12720	20136
271	12772	20098
272	12825	20060
273	12875	20018
274	12924	19974
275	12966	19920
276	13011	19869
277	13055	19817
278	13096	19762
279	13146	19720
280	13201	19684
281	13252	19644
282	13298	19596
283	13357	19566
284	13409	19525
285	13455	19477
286	13499	19426
287	13545	19377
288	13596	19336
289	13644	19289
290	13690	19242
291	13736	19194
292	13787	19152
293	13827	19095
294	13871	19044
295	13915	18993
296	13963	18947
297	14008	18896
298	14051	18845
299	14095	18794
300	14140	18745
301	14189	18700
302	14235	18651
303	14283	18606
304	14328	18556
305	14374	18508
306	14420	18459
307	14466	18411
308	14512	18363
309	14558	18315
310	14602	18264
311	14656	18226
312	14711	18189
313	14776	18164
314	14835	18132
315	14910	18119
316	14963	18079
317	15019	18041
318	15064	17992
319	15114	17948
320	15158	17897
321	15204	17848
322	15252	17802
323	15298	17753
324	15343	17703
325	15387	17653
326	15438	17610
327	15482	17559
328	15528	17511
329	15570	17458
330	15620	17414
331	15665	17364
332	15716	17321
333	15774	17285
334	15838	17257
335	15904	17230
336	15973	17205
337	16038	17176
338	16107	17152
339	16176	17127
340	16239	17097
341	16298	17060
342	16346	17014
343	16395	16967
344	16448	16925
345	16499	16880
346	16544	16831
347	16595	16786
348	16639	16734
349	16688	16688
350	16737	16642
351	16784	16594
352	16836	16549
353	16888	16507
354	16942	16465
355	16994	16421
356	17044	16375
357	17096	16332
358	17149	16289
359	17389	16423
360	17501	16434
361	17558	16394
362	17617	16355
363	17666	16307
364	17716	16260
365	17764	16211
366	17810	16160
367	17857	16110
368	17905	16061
369	17953	16012
370	17997	15959
371	18039	15905
372	18087	15857
373	18132	15804
374	18177	15754
375	18222	15702
376	18268	15652
377	18315	15602
378	18360	15551
379	18405	15498
380	18451	15449
